Adj Close,Date,Ticker
0.023774945641621893,2023-01-20 14:30:00+00:00,AAPL
0.02386702366806465,2023-01-20 15:30:00+00:00,AAPL
0.023886757131504458,2023-01-20 16:30:00+00:00,AAPL
0.023895213101234766,2023-01-20 17:30:00+00:00,AAPL
0.02413105121530004,2023-01-20 18:30:00+00:00,AAPL
0.02423064757088246,2023-01-20 19:30:00+00:00,AAPL
0.024299235836718,2023-01-20 20:30:00+00:00,AAPL
0.02479299106346617,2023-01-23 14:30:00+00:00,AAPL
0.025144867218577952,2023-01-23 15:30:00+00:00,AAPL
0.025166008576604934,2023-01-23 16:30:00+00:00,AAPL
0.025131714443687166,2023-01-23 17:30:00+00:00,AAPL
0.025035874385272158,2023-01-23 18:30:00+00:00,AAPL
0.024815072929486214,2023-01-23 19:30:00+00:00,AAPL
0.024913728777075577,2023-01-23 20:30:00+00:00,AAPL
0.025064063818442273,2023-01-24 14:30:00+00:00,AAPL
0.025166197825164514,2023-01-24 15:30:00+00:00,AAPL
0.025213458351815907,2023-01-24 16:30:00+00:00,AAPL
0.025251981903300042,2023-01-24 17:30:00+00:00,AAPL
0.02520565901723929,2023-01-24 18:30:00+00:00,AAPL
0.025159938285686297,2023-01-24 19:30:00+00:00,AAPL
0.025180572113485317,2023-01-24 20:30:00+00:00,AAPL
0.02467131570926612,2023-01-25 14:30:00+00:00,AAPL
0.0247239325436341,2023-01-25 15:30:00+00:00,AAPL
0.02474648179624826,2023-01-25 16:30:00+00:00,AAPL
0.024908071392105113,2023-01-25 17:30:00+00:00,AAPL
0.025005809670920753,2023-01-25 18:30:00+00:00,AAPL
0.025049030027565363,2023-01-25 19:30:00+00:00,AAPL
0.025052789192135196,2023-01-25 20:30:00+00:00,AAPL
0.02536754969035002,2023-01-26 14:30:00+00:00,AAPL
0.025148626383147785,2023-01-26 15:30:00+00:00,AAPL
0.025244463574160377,2023-01-26 16:30:00+00:00,AAPL
0.02524258542557667,2023-01-26 17:30:00+00:00,AAPL
0.02536851027016001,2023-01-26 18:30:00+00:00,AAPL
0.025366612049759374,2023-01-26 19:30:00+00:00,AAPL
0.025445537301311348,2023-01-26 20:30:00+00:00,AAPL
0.025725533412611874,2023-01-27 14:30:00+00:00,AAPL
0.025691709533690637,2023-01-27 15:30:00+00:00,AAPL
0.02590071162852703,2023-01-27 16:30:00+00:00,AAPL
0.025867412484248262,2023-01-27 17:30:00+00:00,AAPL
0.02597762683098407,2023-01-27 18:30:00+00:00,AAPL
0.026013050720454484,2023-01-27 19:30:00+00:00,AAPL
0.025827010784180423,2023-01-27 20:30:00+00:00,AAPL
0.02549251682252579,2023-01-30 14:30:00+00:00,AAPL
0.025434262675004267,2023-01-30 15:30:00+00:00,AAPL
0.025395739123520136,2023-01-30 16:30:00+00:00,AAPL
0.02536243997924137,2023-01-30 17:30:00+00:00,AAPL
0.025297080408528357,2023-01-30 18:30:00+00:00,AAPL
0.025279227961074676,2023-01-30 19:30:00+00:00,AAPL
0.025270771991344365,2023-01-30 20:30:00+00:00,AAPL
0.02530083957309819,2023-01-31 14:30:00+00:00,AAPL
0.02536754969035002,2023-01-31 15:30:00+00:00,AAPL
0.025369430706336144,2023-01-31 16:30:00+00:00,AAPL
0.02534687858631957,2023-01-31 17:30:00+00:00,AAPL
0.025423925689287835,2023-01-31 18:30:00+00:00,AAPL
0.025326207482289118,2023-01-31 19:30:00+00:00,AAPL
0.025511306910570117,2023-01-31 20:30:00+00:00,AAPL
0.025261378381023412,2023-02-01 14:30:00+00:00,AAPL
0.025251981903300042,2023-02-01 15:30:00+00:00,AAPL
0.025073460296165646,2023-02-01 16:30:00+00:00,AAPL
0.0250828539064866,2023-02-01 17:30:00+00:00,AAPL
0.025154263696301325,2023-02-01 18:30:00+00:00,AAPL
0.025744326368058616,2023-02-01 19:30:00+00:00,AAPL
0.02573117359316783,2023-02-01 20:30:00+00:00,AAPL
0.026390765038753723,2023-02-02 14:30:00+00:00,AAPL
0.026590709009352054,2023-02-02 15:30:00+00:00,AAPL
0.026568460833991774,2023-02-02 16:30:00+00:00,AAPL
0.02657492395904166,2023-02-02 17:30:00+00:00,AAPL
0.02662754079340964,2023-02-02 18:30:00+00:00,AAPL
0.026508213841789828,2023-02-02 19:30:00+00:00,AAPL
0.02675532658216218,2023-02-02 20:30:00+00:00,AAPL
0.027753171153972536,2023-02-03 14:30:00+00:00,AAPL
0.02780430267388806,2023-02-03 15:30:00+00:00,AAPL
0.027764445780279617,2023-02-03 16:30:00+00:00,AAPL
0.027535185487360947,2023-02-03 17:30:00+00:00,AAPL
0.027557734739975106,2023-02-03 18:30:00+00:00,AAPL
0.027506058413600185,2023-02-03 19:30:00+00:00,AAPL
